station_id,station_name,network,latitude,longitude,selected_for_project,bufr_code,canonical_variable,observation_count,unique_timestamp_count,first_time,last_time,median_interval_seconds
MH::dpcn-marche::197dbd7411e6,Sibilla,dpcn-marche,42.895,13.27,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::197dbd7411e6,Sibilla,dpcn-marche,42.895,13.27,False,B13013,unmapped_B13013,74,74,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::1d28cc35dfb7,Ete Vivo,dpcn-marche,43.1358,13.7131,True,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::1d28cc35dfb7,Ete Vivo,dpcn-marche,43.1358,13.7131,True,B13003,relative_humidity,86,86,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::1d28cc35dfb7,Ete Vivo,dpcn-marche,43.1358,13.7131,True,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::1d81d7d77cab,Illice,dpcn-marche,42.90522,13.40683,False,B12101,air_temperature,89,89,2026-06-18T11:30:00Z,2026-06-21T15:30:00Z,1800.0
MH::dpcn-marche::1d81d7d77cab,Illice,dpcn-marche,42.90522,13.40683,False,B13003,relative_humidity,89,89,2026-06-18T11:30:00Z,2026-06-21T15:30:00Z,1800.0
MH::dpcn-marche::1d81d7d77cab,Illice,dpcn-marche,42.90522,13.40683,False,B13011,precipitation_amount,176,176,2026-06-18T11:30:00Z,2026-06-21T15:45:00Z,900.0
MH::dpcn-marche::1e201ff6d532,Agugliano,dpcn-marche,43.5433,13.3806,True,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::1f8f9914ac92,Fabriano,dpcn-marche,43.33846,12.96607,False,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::226acc8a69ec,Cantiano,dpcn-marche,43.46707,12.64052,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::226acc8a69ec,Cantiano,dpcn-marche,43.46707,12.64052,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::226acc8a69ec,Cantiano,dpcn-marche,43.46707,12.64052,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::227342b8cd43,Sant Angelo in Pontano,dpcn-marche,43.104,13.399,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
