station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::dpcn-marche::9c7408e1afe2,Monte San Vito,dpcn-marche,43.60927,13.29086,36.0,True,1,B13215
MH::dpcn-marche::9c93ea939b57,Serralta,dpcn-marche,43.3158,13.1886,491.0,False,2,B12101|B13011
MH::dpcn-marche::9feca6150cf6,Arquata del Tronto,dpcn-marche,42.77782,13.29545,0.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::a0601a5d9b16,Appignano,dpcn-marche,43.3642,13.3431,198.0,False,2,B12101|B13011
MH::dpcn-marche::a1150249d744,Carpegna,dpcn-marche,43.78058,12.34062,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::a39833358df4,Urbania,dpcn-marche,43.65342,12.55213,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::a76c1ba93810,Rostighello,dpcn-marche,43.43805,13.53805,-1.0,True,3,B12101|B13011|B13215
MH::dpcn-marche::aa0b4cdc75f0,Tesino,dpcn-marche,42.96805,13.71175,-1.0,True,2,B13011|B13215
MH::dpcn-marche::b07946f4b0fd,Arzilla,dpcn-marche,43.84,12.8947,64.0,True,2,B13011|B13215
MH::dpcn-marche::b1c5c8a80820,Foglia 3,dpcn-marche,43.90758,12.89751,9.0,True,2,B13011|B13215
MH::dpcn-marche::b2ad5d3cbbec,Foce Cesano,dpcn-marche,43.74958,13.17091,8.0,True,2,B13011|B13215
MH::dpcn-marche::b480cef512bd,Loreto,dpcn-marche,43.43578,13.61955,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::b51ee4d16529,Rotella,dpcn-marche,42.9542,13.5686,387.0,False,1,B13011
MH::dpcn-marche::b63ede20ff3f,San Giorgio Isola,dpcn-marche,42.88433,13.35693,0.0,False,1,B13215
MH::dpcn-marche::b738a6e21c00,Porto S.Elpidio,dpcn-marche,43.23261,13.77223,5.0,True,7,B10004|B11001|B11002|B12101|B13003|B13011|B13215
MH::dpcn-marche::ba30edec5514,Monte Paganuccio,dpcn-marche,43.6281,12.75872,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::ba82e5485bd1,Foce Chienti,dpcn-marche,43.2972,13.72883,4.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::bb0f088433c9,Spindoli,dpcn-marche,43.19405,12.90042,-1.0,False,3,B12101|B13011|B13215
MH::dpcn-marche::bc6f203ac47b,Sassoferrato,dpcn-marche,43.42498,12.85635,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::c007f1337e8b,Foce Tesino,dpcn-marche,42.97552,13.86875,66.0,True,3,B12101|B13011|B13215
MH::dpcn-marche::c29ac8568a3a,Sant Angelo in Vado,dpcn-marche,43.66678,12.4102,357.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::c2bc6155b393,Tenna,dpcn-marche,43.08581,13.49795,199.0,False,1,B13215
MH::dpcn-marche::c48d4be27ed0,Acqualagna,dpcn-marche,43.62819,12.68448,196.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::c5662a4f997d,Endesa,dpcn-marche,42.92618,13.09863,-1.0,False,2,B13011|B13215
MH::dpcn-marche::c68251176e7d,Fabriano 2,dpcn-marche,43.30065,12.88497,-1.0,False,1,B13215
MH::dpcn-marche::c736667faf7e,Foce Aso,dpcn-marche,43.1019,13.8375,4.0,True,1,B13215
MH::dpcn-marche::cc11047f2e33,Ussita,dpcn-marche,42.9436,13.1425,796.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::ceee71cecdb8,Tennacola,dpcn-marche,43.04682,13.45151,250.0,False,1,B13215
MH::dpcn-marche::d075ca789f17,Pennabilli,dpcn-marche,43.81972,12.27417,589.0,False,6,B10004|B11001|B11002|B11041|B12101|B13003
MH::dpcn-marche::d2b637589d13,San Giovanni,dpcn-marche,43.3886,13.0417,687.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::d330d0d406ac,Fiastra Tribbio,dpcn-marche,43.0347,13.156,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::d5585c31948d,Monte Petrano,dpcn-marche,43.5153,12.62183,0.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::d652eedff07d,Briglia Volpi,dpcn-marche,42.89038,13.87938,-1.0,True,1,B13215
