window,analysis_time,input_valid_fraction,future_target_cells,model_rmse_all_available
102,2026-08-05T17:00,0.31255230125523015,2132,1.3321967124938965
103,2026-08-05T18:00,0.3124128312412831,2135,1.4688853025436401
104,2026-08-05T19:00,0.31206415620641564,2135,1.4869745969772339
105,2026-08-05T20:00,0.3124825662482566,2135,1.525339126586914
106,2026-08-05T21:00,0.31269177126917713,2133,1.6099871397018433
107,2026-08-05T22:00,0.3129009762900976,2132,1.6600658893585205
108,2026-08-05T23:00,0.3127615062761506,2140,1.7026540040969849
109,2026-08-06T00:00,0.31408647140864715,2142,1.6573773622512817
110,2026-08-06T01:00,0.31527196652719663,2150,1.7701627016067505
111,2026-08-06T02:00,0.3153417015341701,2151,2.0721352100372314
112,2026-08-06T03:00,0.31506276150627616,2152,2.5986759662628174
113,2026-08-06T04:00,0.31527196652719663,2155,3.201211929321289
114,2026-08-06T05:00,0.3153417015341701,2156,3.332958936691284
115,2026-08-06T06:00,0.31576011157601114,2138,2.370032787322998
116,2026-08-06T07:00,0.3163877266387727,2139,1.905515432357788
117,2026-08-06T08:00,0.3164574616457462,2135,1.8071010112762451
118,2026-08-06T09:00,0.3163877266387727,2137,1.9051202535629272
119,2026-08-06T10:00,0.31652719665271967,2133,2.0822863578796387
120,2026-08-06T11:00,0.31715481171548116,2131,2.3294050693511963
121,2026-08-06T12:00,0.31603905160390516,2145,2.363460063934326
122,2026-08-06T13:00,0.31666666666666665,2139,2.250274419784546
123,2026-08-06T14:00,0.3164574616457462,2143,1.9658637046813965
124,2026-08-06T15:00,0.31666666666666665,2140,1.5945740938186646
125,2026-08-06T16:00,0.31659693165969316,2142,1.3389619588851929
126,2026-08-06T17:00,0.31652719665271967,2139,1.3564050197601318
127,2026-08-06T18:00,0.31624825662482564,2142,1.5535062551498413
128,2026-08-06T19:00,0.3158995815899582,2143,1.721644639968872
129,2026-08-06T20:00,0.3158995815899582,2144,1.846157431602478
130,2026-08-06T21:00,0.3158298465829847,2149,1.9806666374206543
131,2026-08-06T22:00,0.31569037656903765,2153,2.068742036819458
132,2026-08-06T23:00,0.3153417015341701,2160,2.061072587966919
133,2026-08-07T00:00,0.31652719665271967,2157,1.9708878993988037
134,2026-08-07T01:00,0.31617852161785215,2153,2.0531818866729736
135,2026-08-07T02:00,0.31652719665271967,2156,2.264404296875
136,2026-08-07T03:00,0.31666666666666665,2147,2.59991192817688
137,2026-08-07T04:00,0.31708507670850766,2142,2.9268405437469482
138,2026-08-07T05:00,0.3173640167364017,2139,2.9784653186798096
139,2026-08-07T06:00,0.3173640167364017,2124,2.3277268409729004
140,2026-08-07T07:00,0.31715481171548116,2128,2.086364984512329
141,2026-08-07T08:00,0.3174337517433752,2122,2.01987624168396
142,2026-08-07T09:00,0.31715481171548116,2124,2.068997383117676
143,2026-08-07T10:00,0.31708507670850766,2123,2.168719530105591
144,2026-08-07T11:00,0.3173640167364017,2125,2.276751756668091
145,2026-08-07T12:00,0.31610878661087866,2142,2.2152130603790283
146,2026-08-07T13:00,0.31610878661087866,2140,1.9798372983932495
147,2026-08-07T14:00,0.3158995815899582,2146,1.7486556768417358
148,2026-08-07T15:00,0.3154114365411437,2149,1.6035206317901611
149,2026-08-07T16:00,0.31492329149232917,2150,1.5409706830978394
150,2026-08-07T17:00,0.3148535564853556,2144,1.6648659706115723
151,2026-08-07T18:00,0.31499302649930266,2146,1.8362482786178589
