baseline,scope,lead_hour,region,variable,v9_2_rmse,baseline_rmse,rmse_skill,rmse_skill_percent
dense_era5t_persistence,per_lead,1,land,t2m,2.7855374688717864,1.5483246405622586,-0.7990655162991183,-79.90655162991183
dense_era5t_persistence,per_lead,1,land,tp,0.1595809815413709,0.17648730754225958,0.0957934382722706,9.57934382722706
dense_era5t_persistence,per_lead,1,sea,msl,0.8540209439860209,0.30025286653968386,-1.844339019401657,-184.4339019401657
dense_era5t_persistence,per_lead,1,sea,u10,1.5143184895149109,0.7630608810111735,-0.9845316765658396,-98.45316765658396
dense_era5t_persistence,per_lead,1,sea,v10,1.6678156552200982,0.7063627570866332,-1.3611319233462158,-136.11319233462157
dense_era5t_persistence,per_lead,1,sea,t2m,1.0112201870581548,0.29975475766321896,-2.3734917001527056,-237.34917001527057
dense_era5t_persistence,per_lead,1,sea,tp,0.031247167161286532,0.03012842149958279,-0.03713256805436127,-3.713256805436127
dense_era5t_persistence,per_lead,2,full,msl,0.9867175041220111,0.5585043347293073,-0.7667141376803239,-76.6714137680324
dense_era5t_persistence,per_lead,2,full,u10,1.322282690308043,1.0763118948491255,-0.2285311503441081,-22.85311503441081
dense_era5t_persistence,per_lead,2,full,v10,1.3411980236902445,0.9854409370375543,-0.36101309909264767,-36.10130990926477
dense_era5t_persistence,per_lead,2,full,t2m,2.1198135083126535,2.2563259294351954,0.0605020840923961,6.050208409239611
dense_era5t_persistence,per_lead,2,full,tp,0.1222261732136087,0.15509446154294473,0.21192432020040253,21.192432020040254
dense_era5t_persistence,per_lead,2,land,msl,1.0802683621019302,0.5990902279825596,-0.8031814101520922,-80.31814101520922
dense_era5t_persistence,per_lead,2,land,u10,1.147474325524969,0.841849294942717,-0.36304007429625296,-36.304007429625294
dense_era5t_persistence,per_lead,2,land,v10,1.0922518085146347,0.7789667325109496,-0.4021803023523618,-40.21803023523618
dense_era5t_persistence,per_lead,2,land,t2m,2.66872455241713,2.950983338065315,0.09564906111372218,9.564906111372217
dense_era5t_persistence,per_lead,2,land,tp,0.1598448947029029,0.20367297216425934,0.21518848080642594,21.518848080642595
dense_era5t_persistence,per_lead,2,sea,msl,0.8469937625670154,0.4996758244292063,-0.6950865364250116,-69.50865364250116
dense_era5t_persistence,per_lead,2,sea,u10,1.5233119538282658,1.3245183649014776,-0.15008745382067623,-15.008745382067623
dense_era5t_persistence,per_lead,2,sea,v10,1.612914955941745,1.2057352645502608,-0.3377023989949919,-33.77023989949919
dense_era5t_persistence,per_lead,2,sea,t2m,1.005421016149253,0.5459757783935084,-0.8415121255152136,-84.15121255152135
dense_era5t_persistence,per_lead,2,sea,tp,0.029655686932843907,0.031010940746249792,0.04370244116408428,4.370244116408428
dense_era5t_persistence,per_lead,3,full,msl,1.0186793706010715,0.7582634988578318,-0.3434371720853011,-34.34371720853011
dense_era5t_persistence,per_lead,3,full,u10,1.3388088178118902,1.3879493617846548,0.035405141805446405,3.5405141805446405
dense_era5t_persistence,per_lead,3,full,v10,1.3444302934834877,1.2573409577797103,-0.06926469321222539,-6.926469321222539
dense_era5t_persistence,per_lead,3,full,t2m,2.148427405209527,3.2467382089476393,0.33828129434990883,33.828129434990885
dense_era5t_persistence,per_lead,3,full,tp,0.12189036095737538,0.1562284805974947,0.219794236676907,21.9794236676907
dense_era5t_persistence,per_lead,3,land,msl,1.1304851436792684,0.8143314522192121,-0.3882371122943562,-38.82371122943562
dense_era5t_persistence,per_lead,3,land,u10,1.154616873196843,1.0662511946567226,-0.08287510389947972,-8.287510389947972
dense_era5t_persistence,per_lead,3,land,v10,1.107960689967458,0.9797189714107285,-0.13089643285366837,-13.089643285366837
dense_era5t_persistence,per_lead,3,land,t2m,2.7059844172186094,4.249057539248561,0.3631565606670607,36.31565606670607
dense_era5t_persistence,per_lead,3,land,tp,0.1596074410224771,0.20534186974413174,0.22272334803731209,22.27233480373121
dense_era5t_persistence,per_lead,3,sea,msl,0.8481301404263782,0.6768569972346149,-0.2530418447198175,-25.30418447198175
dense_era5t_persistence,per_lead,3,sea,u10,1.5494968146577108,1.7240958770905763,0.10126992631494636,10.126992631494636
dense_era5t_persistence,per_lead,3,sea,v10,1.6049552681317887,1.5504215030624418,-0.035173509243538126,-3.5173509243538126
dense_era5t_persistence,per_lead,3,sea,t2m,1.0146330744062129,0.7657311580147106,-0.32505131048450897,-32.5051310484509
dense_era5t_persistence,per_lead,3,sea,tp,0.028095738820720424,0.029632087346624238,0.051847462108633335,5.1847462108633335
dense_era5t_persistence,per_lead,4,full,msl,1.0659572687362138,0.9240430644356245,-0.15357964337654106,-15.357964337654106
