method,lead_hour,region,variable,mae,rmse,sample_windows
v9_2_final16,5,full,u10,1.0762003999604108,1.3826042136535095,152
v9_2_final16,5,full,v10,1.0486167320368214,1.4004179681283873,152
v9_2_final16,5,full,t2m,1.6210187628919674,2.237966699585901,152
v9_2_final16,5,full,tp,0.03309801782909684,0.1222715871513966,152
v9_2_final16,5,land,msl,0.9940420283170947,1.246984226962118,152
v9_2_final16,5,land,u10,0.9350664502356063,1.1915269647571498,152
v9_2_final16,5,land,v10,0.8951609283105552,1.1593844662657464,152
v9_2_final16,5,land,t2m,2.254149147445484,2.824980550980243,152
v9_2_final16,5,land,tp,0.04759715209281482,0.16020650376700524,152
v9_2_final16,5,sea,msl,0.7016068663893704,0.8670539620998337,152
v9_2_final16,5,sea,u10,1.2632028833457767,1.6010328335917832,152
v9_2_final16,5,sea,v10,1.2519456719741242,1.6669412189300181,152
v9_2_final16,5,sea,t2m,0.782121003358558,1.0346826711034558,152
v9_2_final16,5,sea,tp,0.013886664929670509,0.027421319839857815,152
v9_2_final16,6,full,msl,0.8924070883172588,1.1313365530545667,152
v9_2_final16,6,full,u10,1.1032345061525448,1.4179398431446473,152
v9_2_final16,6,full,v10,1.0769872530905178,1.4406119113968614,152
v9_2_final16,6,full,t2m,1.652212544239959,2.276211263565787,152
v9_2_final16,6,full,tp,0.03309258218293007,0.12326932999758515,152
v9_2_final16,6,land,msl,1.023118105457289,1.285171436129464,152
v9_2_final16,6,land,u10,0.9579619708805375,1.2216454252751157,152
v9_2_final16,6,land,v10,0.917653480710991,1.1906621629838938,152
v9_2_final16,6,land,t2m,2.3024919324159256,2.875302102763685,152
v9_2_final16,6,land,tp,0.04779435377566325,0.16161723990735768,152
v9_2_final16,6,sea,msl,0.7192149906067187,0.8873345617763698,152
v9_2_final16,6,sea,u10,1.2957206153879544,1.6422799410895172,152
v9_2_final16,6,sea,v10,1.288104501493391,1.7166237261983441,152
v9_2_final16,6,sea,t2m,0.7905923549068031,1.04493554788506,152
v9_2_final16,6,sea,tp,0.013612734822558604,0.02683210265220665,152
input_compatible_reconstruction_persistence,1,full,msl,2.5324188548792304,2.985100069784338,152
input_compatible_reconstruction_persistence,1,full,u10,1.725094145302943,2.1693465382325168,152
input_compatible_reconstruction_persistence,1,full,v10,1.347513023817368,1.7523747408104757,152
input_compatible_reconstruction_persistence,1,full,t2m,15.808854769748407,16.668710999412305,152
input_compatible_reconstruction_persistence,1,full,tp,0.1761345774309869,0.22211284595604908,152
input_compatible_reconstruction_persistence,1,land,msl,2.5519066900404996,2.9999944768021725,152
input_compatible_reconstruction_persistence,1,land,u10,1.5903550449991577,2.0003385027539244,152
input_compatible_reconstruction_persistence,1,land,v10,1.0755847022048353,1.3939076267657469,152
input_compatible_reconstruction_persistence,1,land,t2m,18.203979182466117,19.08029592056538,152
input_compatible_reconstruction_persistence,1,land,tp,0.15124596693140463,0.2133694270204657,152
input_compatible_reconstruction_persistence,1,sea,msl,2.5065974732905483,2.965249745179792,152
input_compatible_reconstruction_persistence,1,sea,u10,1.9036234532054581,2.374827471716423,152
input_compatible_reconstruction_persistence,1,sea,v10,1.7078180499539741,2.1366337050591473,152
input_compatible_reconstruction_persistence,1,sea,t2m,12.63531492289744,12.791221067057236,152
input_compatible_reconstruction_persistence,1,sea,tp,0.2091119863429334,0.23319346383343761,152
input_compatible_reconstruction_persistence,2,full,msl,2.51948737892072,2.969328762325858,152
input_compatible_reconstruction_persistence,2,full,u10,1.721141018048889,2.164508058062067,152
input_compatible_reconstruction_persistence,2,full,v10,1.34980329829645,1.7546101583192348,152
