baseline,scope,lead_hour,region,variable,v9_2_rmse,baseline_rmse,rmse_skill,rmse_skill_percent
input_compatible_reconstruction_persistence,per_lead,2,sea,t2m,1.005421016149253,12.791427408131604,0.9213988412653541,92.1398841265354
input_compatible_reconstruction_persistence,per_lead,2,sea,tp,0.029655686932843907,0.2330840785952033,0.8727682855406573,87.27682855406573
input_compatible_reconstruction_persistence,per_lead,3,full,msl,1.0186793706010715,2.9524443766158743,0.6549708510448913,65.49708510448913
input_compatible_reconstruction_persistence,per_lead,3,full,u10,1.3388088178118902,2.1598551709675133,0.3801395409247894,38.01395409247894
input_compatible_reconstruction_persistence,per_lead,3,full,v10,1.3444302934834877,1.7562371359854105,0.23448248192910537,23.448248192910537
input_compatible_reconstruction_persistence,per_lead,3,full,t2m,2.148427405209527,16.597908623053176,0.8705603546807378,87.05603546807377
input_compatible_reconstruction_persistence,per_lead,3,full,tp,0.12189036095737538,0.2216741962888654,0.4501373502284448,45.01373502284448
input_compatible_reconstruction_persistence,per_lead,3,land,msl,1.1304851436792684,2.9586660881847338,0.6179071547837733,61.79071547837734
input_compatible_reconstruction_persistence,per_lead,3,land,u10,1.154616873196843,1.9808406833729202,0.417107653892289,41.7107653892289
input_compatible_reconstruction_persistence,per_lead,3,land,v10,1.107960689967458,1.3961318950992672,0.20640686323645652,20.640686323645653
input_compatible_reconstruction_persistence,per_lead,3,land,t2m,2.7059844172186094,18.971719284154155,0.8573674648728994,85.73674648728993
input_compatible_reconstruction_persistence,per_lead,3,land,tp,0.1596074410224771,0.2128137873882275,0.25001362467502286,25.001362467502286
input_compatible_reconstruction_persistence,per_lead,3,sea,msl,0.8481301404263782,2.9441803570312834,0.7119299643444478,71.19299643444478
input_compatible_reconstruction_persistence,per_lead,3,sea,u10,1.5494968146577108,2.376367687010178,0.3479557801060631,34.795578010606306
input_compatible_reconstruction_persistence,per_lead,3,sea,v10,1.6049552681317887,2.142075742157068,0.25074765726276305,25.074765726276304
input_compatible_reconstruction_persistence,per_lead,3,sea,t2m,1.0146330744062129,12.791147371991471,0.920676930309791,92.0676930309791
input_compatible_reconstruction_persistence,per_lead,3,sea,tp,0.028095738820720424,0.23289559117207392,0.8793633718898439,87.9363371889844
input_compatible_reconstruction_persistence,per_lead,4,full,msl,1.0659572687362138,2.936394799487272,0.6369843493380583,63.69843493380583
input_compatible_reconstruction_persistence,per_lead,4,full,u10,1.357545409893654,2.154435198323411,0.36988338709370305,36.9883387093703
input_compatible_reconstruction_persistence,per_lead,4,full,v10,1.3658570873230862,1.75783302337559,0.22298815122939686,22.298815122939686
input_compatible_reconstruction_persistence,per_lead,4,full,t2m,2.1992793424049037,16.559697448857754,0.8671908500021174,86.71908500021173
input_compatible_reconstruction_persistence,per_lead,4,full,tp,0.12134393955920846,0.22117141408789975,0.45135794307042343,45.135794307042346
input_compatible_reconstruction_persistence,per_lead,4,land,msl,1.2032829109823628,2.9405420865349137,0.5907955487213272,59.079554872132725
input_compatible_reconstruction_persistence,per_lead,4,land,u10,1.1697057225157066,1.9676145780013576,0.4055209106532146,40.55209106532146
input_compatible_reconstruction_persistence,per_lead,4,land,v10,1.129431558013478,1.3970882570005063,0.19158181141803943,19.158181141803944
input_compatible_reconstruction_persistence,per_lead,4,land,t2m,2.7739710672651356,18.913486533474142,0.853333701200167,85.33337012001671
input_compatible_reconstruction_persistence,per_lead,4,land,tp,0.1589088431386289,0.21189908949200692,0.25007302523297004,25.007302523297003
input_compatible_reconstruction_persistence,per_lead,4,sea,msl,0.8505068797643538,2.930890604808518,0.7098128199090803,70.98128199090803
input_compatible_reconstruction_persistence,per_lead,4,sea,u10,1.572237568854593,2.3794856978462597,0.3392531964879343,33.925319648793426
input_compatible_reconstruction_persistence,per_lead,4,sea,v10,1.6270369546631975,2.1442918910126636,0.24122412555745254,24.122412555745253
input_compatible_reconstruction_persistence,per_lead,4,sea,t2m,1.024629624109561,12.790264208994623,0.9198898781630327,91.98898781630326
