station_id,station_name,latitude,longitude,station_type,network,coordinate_source,pretraining_value_source,operational_value_source,enabled,profile_land_only,profile_sea_only,profile_dpc_plus_sea,dist_to_coast_km,notes
LEGACY::ABR_latest::ABR_FOSSACESIA,Abruzzo Virtual - Fossacesia,42.24,14.48,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_SAN_VITO_CHIETINO,Abruzzo Virtual - San Vito Chietino,42.3,14.44,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_ORTONA,Abruzzo Virtual - Ortona,42.35,14.4,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_FRANCAVILLA_AL_MARE,Abruzzo Virtual - Francavilla al Mare,42.42,14.28,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_PESCARA,Abruzzo Virtual - Pescara,42.46,14.21,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_MONTESILVANO,Abruzzo Virtual - Montesilvano,42.51,14.15,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_SILVI_MARINA,Abruzzo Virtual - Silvi Marina,42.55,14.11,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_PINETO,Abruzzo Virtual - Pineto,42.61,14.06,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_ROSETO_DEGLI_ABRUZZI,Abruzzo Virtual - Roseto degli Abruzzi,42.67,14.01,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_GIULIANOVA,Abruzzo Virtual - Giulianova,42.75,13.97,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_TORTORETO,Abruzzo Virtual - Tortoreto,42.8,13.94,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_ALBA_ADRIATICA,Abruzzo Virtual - Alba Adriatica,42.83,13.92,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_MARTINSICURO,Abruzzo Virtual - Martinsicuro,42.88,13.91,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::MAR_latest::MAR_San_Benedetto_del_Tronto,Marche Virtual - San Benedetto del Tronto,42.95,13.88,legacy_virtual_coastal,ARPAM_VIRTUAL,MAR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::MAR_latest::MAR_Civitanova_Marche,Marche Virtual - Civitanova Marche,43.3,13.72,legacy_virtual_coastal,ARPAM_VIRTUAL,MAR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::MAR_latest::MAR_Ancona,Marche Virtual - Ancona,43.61,13.51,legacy_virtual_coastal,ARPAM_VIRTUAL,MAR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
